Notebook Dell Inspiron 15 i1101-M10S 15.6” Full HD 11ª geração Intel Core i5 8GB 256GB SSD Windows 11 ; R$ 4.130,10 ;  Data: 14/10/2022 
Notebook Gamer Acer Nitro 5 AMD Ryzen 7-4800H, GeForce GTX 1650, 8GB RAM, SSD 256GB, HDD 1TB, 15.6' Full HD IPS 144Hz, Win11 - AN515-44-R629 ; R$ 5.299,99 ;  Data: 14/10/2022 
Notebook Lenovo Ideapad 3i Celeron 4GB 128GB SSD Linux Prata 82BUS00100 ; R$ 1.842,03 ;  Data: 14/10/2022 
Notebook Multilaser Legacy Cloud Intel Z8530 2GB RAM 32GB Windows 10 Home Tela 14" HD Grafite PC131 ; R$ 1.373,90 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 A514-54G-59BT Intel Core i5 11ª Gen Windows 11 Home MX350 8GB 256GB SDD 14' ; R$ 4.499,10 ;  Data: 14/10/2022 
Notebook Gamer Acer Nitro 5 AN517-54-55T5 Intel Core i5 Windows 11 Home 8GB 512GB SSD GTX 1650 17.3' ; R$ 4.589,10 ;  Data: 14/10/2022 
Notebook Lenovo IdeaPad 3i Intel Celeron N4020 Dual Core, 4GB, SSD 128GB, Windows 11, 15.6, Prata - 82BU0006BR ; R$ 1.994,99 ;  Data: 14/10/2022 
Notebook Acer Aspire 3 Intel Core i3 11a Geração 4.10Ghz 8GB DDR4 SSD 512GB NVMe Tela 15.6" Full HD Gráficos Iris Xe Windows 11 A315-58-372M ; R$ 2.881,50 ;  Data: 14/10/2022 
Notebook Samsung Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Cinza - NP550XDA-KH2BR ; R$ 3.399,99 ;  Data: 14/10/2022 
Notebook Intel Pentium 4GB RAM 500GB HDD Ultra UB322 Tela 14.1" HD Windows 10 Preto - Multilaser ; R$ 1.869,15 ;  Data: 14/10/2022 
Notebook Legacy Intel Dual Core Windows 10 4Gb Tela Hd 14 Pol, Preto Multilaser - PC201 ; R$ 1.146,51 ;  Data: 14/10/2022 
Notebook Positivo Motion Gray Q464C-O 64Gb + Fone Bluetooth ; R$ 1.499,90 ;  Data: 14/10/2022 
Notebook Lenovo IdeaPad 3i i5-1135G7 8GB 256GB SSD Intel Iris Xe Linux 15.6" FHD 82MDS00500 ; R$ 2.748,07 ;  Data: 14/10/2022 
Notebook ASUS E510MA-BR700X Intel Celeron Dual Core N4020 4GB 128GB W11 15,6" LED-backlit Branco ; R$ 1.721,18 ;  Data: 14/10/2022 
Notebook Lenovo IdeaPad 3i i5-1135G7 8GB 256GB SSD W11 15.6" 82MD000JBR + GARANTIA PREMIUM 2 ANOS ; R$ 3.039,62 ;  Data: 14/10/2022 
Notebook Positivo Motion Plus Intel Atom 4gb 64gb SSD Q464C-O ; R$ 1.249,49 ;  Data: 14/10/2022 
Notebook Lenovo IdeaPad 3i i5 8GB 256gb Ssd 15.6 W11 Prata ; R$ 3.394,03 ;  Data: 14/10/2022 
Notebook Gamer Acer Nitro 5 AMD Ryzen 7-4800H, GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6' Full HD IPS 144Hz, Linux - AN515-44-R11B ; R$ 6.899,99 ;  Data: 14/10/2022 
Notebook Multilaser PC134 Legacy Cloud Intel Atom-Z8350 2GB 64GB W10 14" Cinza ; R$ 1.399,99 ;  Data: 14/10/2022 
Notebook Dell Inspiron i15-i1100-M40S 15.6" Full HD 11ª Geração Intel Core i5 8GB 256GB SSD Windows 11 ; R$ 4.157,10 ;  Data: 14/10/2022 
Notebook Samsung Intel Core i3-1115G4, 4GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Cinza - NP550XDA-KV3BR ; R$ 2.499,99 ;  Data: 14/10/2022 
Notebook ideapad Gaming 3 R5-5600H 8GB 256GB SSD PCIe GTX 1650 4GB 15.6" FHD W11 82MJ0002BR - Lenovo ; R$ 4.414,07 ;  Data: 14/10/2022 
Notebook HP 256-G8, Intel Core i5, 8GB de memoria,256GB SSD, Tela de 15,6", Windows 11 ; R$ 3.336,06 ;  Data: 14/10/2022 
Notebook ASUS E410MA-BV1871 CELERON N4020 4GB 128GB SSD KeepOs (Linux) 14" HD Star Black ; R$ 1.598,18 ;  Data: 14/10/2022 
Notebook Gamer Dell G15-a0500-MM15P 15.6" FHD AMD Ryzen 5 16GB 512GB SSD NVIDIA RTX 3050 Windows 11 ; R$ 6.866,10 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 A514-54-397J Intel Core i3 11ª Gen Windows 11 Home 8GB 256GB SDD 14' Full HD ; R$ 2.699,10 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 A514-54G-59RU Intel Core i5 11ª Gen Windows 11 Home MX350 8GB 512GB SDD 14' ; R$ 3.509,10 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 A515-54G-52FY Intel Core i5 10ª Gen Windows 11 Home MX250 8GB 512GB SDD 15.6' ; R$ 3.419,10 ;  Data: 14/10/2022 
Notebook Samsung Book S I5-L16G7/8GB/SSD256GB/W11H 13" NP767XCM-K03BR ; R$ 4.218,53 ;  Data: 14/10/2022 
